,Class,Layers,Split,Dataset,Model,Entropy
118,class_1,20,test,Higgs,CAT,4.8065815
119,class_1,20,test,Higgs,FT,4.8058085
120,class_1,1,train,Income,CAT,3.7279973
121,class_1,1,train,Income,FT,3.65694
122,class_1,1,train,Covertype,CAT,4.182128
123,class_1,1,train,Covertype,FT,4.103673
124,class_1,1,train,Higgs,CAT,4.754823
125,class_1,1,train,Higgs,FT,4.757396
126,class_1,1,test,Income,CAT,3.7284317
127,class_1,1,test,Income,FT,3.660598
128,class_1,1,test,Covertype,CAT,4.1828117
129,class_1,1,test,Covertype,FT,4.1044884
130,class_1,1,test,Higgs,CAT,4.7541347
131,class_1,1,test,Higgs,FT,4.7569203
132,class_1,3,train,Income,CAT,3.800654
133,class_1,3,train,Income,FT,3.7987287
134,class_1,3,train,Covertype,CAT,5.5312943
135,class_1,3,train,Covertype,FT,5.496374
136,class_1,3,train,Higgs,CAT,4.8045754
137,class_1,3,train,Higgs,FT,4.8031197
138,class_1,3,test,Income,CAT,3.8007743
139,class_1,3,test,Income,FT,3.7989073
140,class_1,3,test,Covertype,CAT,5.5312347
141,class_1,3,test,Covertype,FT,5.4964695
142,class_1,3,test,Higgs,CAT,4.804532
143,class_1,3,test,Higgs,FT,4.803086
144,class_2,10,train,Covertype,CAT,5.717856
145,class_2,10,train,Covertype,FT,5.722248
146,class_2,10,test,Covertype,CAT,5.7179003
147,class_2,10,test,Covertype,FT,5.722341
148,class_2,5,train,Covertype,CAT,5.6467977
149,class_2,5,train,Covertype,FT,5.653049
150,class_2,5,test,Covertype,CAT,5.6467915
151,class_2,5,test,Covertype,FT,5.653097
152,class_2,15,train,Covertype,CAT,5.737238
153,class_2,15,train,Covertype,FT,5.7361045
154,class_2,15,test,Covertype,CAT,5.7373023
155,class_2,15,test,Covertype,FT,5.7361207
156,class_2,20,train,Covertype,CAT,5.746859
157,class_2,20,train,Covertype,FT,5.7419496
158,class_2,20,test,Covertype,CAT,5.746881
159,class_2,20,test,Covertype,FT,5.741966
160,class_2,1,train,Covertype,CAT,4.142849
161,class_2,1,train,Covertype,FT,4.1046166
162,class_2,1,test,Covertype,CAT,4.1456723
163,class_2,1,test,Covertype,FT,4.106779
164,class_2,3,train,Covertype,CAT,5.5328712
165,class_2,3,train,Covertype,FT,5.517682
166,class_2,3,test,Covertype,CAT,5.533198
167,class_2,3,test,Covertype,FT,5.517854
168,class_3,10,train,Covertype,CAT,5.715877
169,class_3,10,train,Covertype,FT,5.722031
