HELENA

Normal - Mixed - Trainable

Epoch [ 1/200]  | Train: Loss 4.089215848698962, Accuracy 0.08589521660056533       | Test: Loss 3.700520925032787, Accuracy 0.13476482617586913       
Epoch [ 2/200]  | Train: Loss 3.558656332879093, Accuracy 0.17477047132808904       | Test: Loss 3.3000041093581762, Accuracy 0.22770961145194274      
Epoch [ 3/200]  | Train: Loss 3.2896178780987277, Accuracy 0.23356048820036374      | Test: Loss 3.1716265372740917, Accuracy 0.2634969325153374       
Epoch [ 4/200]  | Train: Loss 3.171944305217466, Accuracy 0.25343471306177007       | Test: Loss 3.060275683036217, Accuracy 0.27975460122699386       
Epoch [ 5/200]  | Train: Loss 3.075398089499447, Accuracy 0.2711177334180599        | Test: Loss 2.9852613546909432, Accuracy 0.2906952965235174       
Epoch [ 6/200]  | Train: Loss 3.0099505312615933, Accuracy 0.2815259548173631       | Test: Loss 2.935072727692433, Accuracy 0.302760736196319         
Epoch [ 7/200]  | Train: Loss 2.9529237467483433, Accuracy 0.29397199640642463      | Test: Loss 2.87268703411787, Accuracy 0.31257668711656444        
Epoch [ 8/200]  | Train: Loss 2.906836938591643, Accuracy 0.3030216710125556        | Test: Loss 2.8384238328689184, Accuracy 0.3224948875255624       
Epoch [ 9/200]  | Train: Loss 2.872150884660263, Accuracy 0.30979249293336547       | Test: Loss 2.816732088724772, Accuracy 0.32607361963190185       
Epoch [10/200]  | Train: Loss 2.833263490453113, Accuracy 0.3178780375572452        | Test: Loss 2.7950463661780725, Accuracy 0.32750511247443764      
Epoch [11/200]  | Train: Loss 2.7960960718506542, Accuracy 0.3252404846944365       | Test: Loss 2.7481583998753476, Accuracy 0.33404907975460124      
Epoch [12/200]  | Train: Loss 2.7691337156562166, Accuracy 0.3288559721278787       | Test: Loss 2.7292671020214376, Accuracy 0.3406952965235174       
Epoch [13/200]  | Train: Loss 2.7437500607368, Accuracy 0.3344216315708745          | Test: Loss 2.717651312167828, Accuracy 0.3427402862985685        
Epoch [14/200]  | Train: Loss 2.7162120249018322, Accuracy 0.3404474439599448       | Test: Loss 2.6973019440968833, Accuracy 0.3505112474437628       
Epoch [15/200]  | Train: Loss 2.695365121244718, Accuracy 0.34325218572649385       | Test: Loss 2.6975880830715866, Accuracy 0.3492842535787321       
Epoch [16/200]  | Train: Loss 2.6785902470849745, Accuracy 0.34412866752854043      | Test: Loss 2.683115078852727, Accuracy 0.3523517382413088        
Epoch [17/200]  | Train: Loss 2.660591359911018, Accuracy 0.3471525297456012        | Test: Loss 2.6766949127881956, Accuracy 0.3563394683026585       
Epoch [18/200]  | Train: Loss 2.648021658039626, Accuracy 0.35017639196266187       | Test: Loss 2.6622534715212307, Accuracy 0.3549079754601227       
Epoch [19/200]  | Train: Loss 2.6341724049445636, Accuracy 0.3539452637114622       | Test: Loss 2.6517744675660744, Accuracy 0.3609406952965235       
Epoch [20/200]  | Train: Loss 2.6157088399599386, Accuracy 0.3549313057387646       | Test: Loss 2.6510468874222193, Accuracy 0.3596114519427403       
Epoch [21/200]  | Train: Loss 2.605293130075465, Accuracy 0.3578236956855183        | Test: Loss 2.6434024358407044, Accuracy 0.3609406952965235       
Epoch [22/200]  | Train: Loss 2.5939372571487, Accuracy 0.3617021276595745          | Test: Loss 2.623159035658225, Accuracy 0.3610429447852761        
Epoch [23/200]  | Train: Loss 2.57889280239297, Accuracy 0.3631483226329513         | Test: Loss 2.6330809470934744, Accuracy 0.36462167689161556      
Epoch [24/200]  | Train: Loss 2.573160239438105, Accuracy 0.36251287332646753       | Test: Loss 2.6351579825083413, Accuracy 0.36482617586912064      
Epoch [25/200]  | Train: Loss 2.558153377564926, Accuracy 0.3656462957687841        | Test: Loss 2.627771787154369, Accuracy 0.3652351738241309        
Epoch [26/200]  | Train: Loss 2.5489567245185043, Accuracy 0.36864824594079365      | Test: Loss 2.6134807085379577, Accuracy 0.36441717791411044      
Epoch [27/200]  | Train: Loss 2.5399615631423185, Accuracy 0.37018208909437517      | Test: Loss 2.6411245480561867, Accuracy 0.36625766871165644      
Epoch [28/200]  | Train: Loss 2.527479426154877, Accuracy 0.37020400113942636       | Test: Loss 2.6140891894316063, Accuracy 0.37024539877300616      
Epoch [29/200]  | Train: Loss 2.521620168366246, Accuracy 0.37305256699607775       | Test: Loss 2.6123042412293263, Accuracy 0.3652351738241309       
Epoch [30/200]  | Train: Loss 2.5089840822379683, Accuracy 0.3734469838069987       | Test: Loss 2.6063036001645603, Accuracy 0.36952965235173824      
Epoch [31/200]  | Train: Loss 2.4952357747701295, Accuracy 0.37583539671757565      | Test: Loss 2.613063164246388, Accuracy 0.3708588957055215        
Epoch [32/200]  | Train: Loss 2.4849411375695767, Accuracy 0.37708438328549204      | Test: Loss 2.601242578946627, Accuracy 0.37249488752556237       
Epoch [33/200]  | Train: Loss 2.47517287797768, Accuracy 0.379341323925762          | Test: Loss 2.6036753287682166, Accuracy 0.36820040899795503      
Epoch [34/200]  | Train: Loss 2.4688142398216204, Accuracy 0.380546486403576        | Test: Loss 2.5954840060992117, Accuracy 0.36993865030674844      
Epoch [35/200]  | Train: Loss 2.4589535630615065, Accuracy 0.3819926813769529       | Test: Loss 2.6206475160060783, Accuracy 0.3726993865030675       
Epoch [36/200]  | Train: Loss 2.4434167899233, Accuracy 0.38339505226022746         | Test: Loss 2.6115289529164634, Accuracy 0.37280163599182004      
Epoch [37/200]  | Train: Loss 2.4387236334092126, Accuracy 0.38766790104520454      | Test: Loss 2.6004982728224535, Accuracy 0.3754601226993865       
