HELENA

Normal - sigma = 0.0001

Epoch [ 1/200]  | Train: Loss 4.233626035338673, Accuracy 0.052479347897539275      | Test: Loss 4.157358035063132, Accuracy 0.05899795501022495       
Epoch [ 2/200]  | Train: Loss 4.179169718779665, Accuracy 0.055612770339855816      | Test: Loss 4.150128462375739, Accuracy 0.05899795501022495       
Epoch [ 3/200]  | Train: Loss 4.172930011536156, Accuracy 0.057124701448386175      | Test: Loss 4.154173410855806, Accuracy 0.05899795501022495       
Epoch [ 4/200]  | Train: Loss 4.166293453237864, Accuracy 0.0593378179985538        | Test: Loss 4.150458213610527, Accuracy 0.05899795501022495       
Epoch [ 5/200]  | Train: Loss 4.16468212724398, Accuracy 0.05837368801630256        | Test: Loss 4.149712146856846, Accuracy 0.05899795501022495       
Epoch [ 6/200]  | Train: Loss 4.163919781839382, Accuracy 0.059535026404014285      | Test: Loss 4.158258548149695, Accuracy 0.05899795501022495       
Epoch [ 7/200]  | Train: Loss 4.161342668799715, Accuracy 0.05896531323268401       | Test: Loss 4.152679186600905, Accuracy 0.05899795501022495       
Epoch [ 8/200]  | Train: Loss 4.158300093432379, Accuracy 0.06019238775554923       | Test: Loss 4.158969206687732, Accuracy 0.05899795501022495       
Epoch [ 9/200]  | Train: Loss 4.15784732855898, Accuracy 0.06010473957534457        | Test: Loss 4.155878360454853, Accuracy 0.05899795501022495       
Epoch [10/200]  | Train: Loss 4.156814805622207, Accuracy 0.06161667068387493       | Test: Loss 4.15196907825959, Accuracy 0.05899795501022495        
Epoch [11/200]  | Train: Loss 4.155324401802191, Accuracy 0.06128799000810746       | Test: Loss 4.157765730833396, Accuracy 0.05899795501022495       
Epoch [12/200]  | Train: Loss 4.155846638386476, Accuracy 0.06139755023336328       | Test: Loss 4.150090486575396, Accuracy 0.05899795501022495       
Epoch [13/200]  | Train: Loss 4.156461051056505, Accuracy 0.061507110458619105      | Test: Loss 4.145936745863694, Accuracy 0.05899795501022495       
Epoch [14/200]  | Train: Loss 4.155267702134628, Accuracy 0.0618796152244889        | Test: Loss 4.153170463366386, Accuracy 0.05899795501022495       
Epoch [15/200]  | Train: Loss 4.154585035153607, Accuracy 0.060805925016981836      | Test: Loss 4.149644778325007, Accuracy 0.05899795501022495       
Epoch [16/200]  | Train: Loss 4.154452020229574, Accuracy 0.06190152726954007       | Test: Loss 4.15886411911402, Accuracy 0.05899795501022495        
Epoch [17/200]  | Train: Loss 4.153342388195698, Accuracy 0.06192343931459123       | Test: Loss 4.146129485888359, Accuracy 0.05899795501022495       
Epoch [18/200]  | Train: Loss 4.153051997030247, Accuracy 0.061660494773977254      | Test: Loss 4.148330395038311, Accuracy 0.05899795501022495       
Epoch [19/200]  | Train: Loss 4.153407332617477, Accuracy 0.062120647720051714      | Test: Loss 4.146376683161809, Accuracy 0.05899795501022495       
Epoch [20/200]  | Train: Loss 4.152467573155238, Accuracy 0.0621863838552052        | Test: Loss 4.149531425573887, Accuracy 0.05899795501022495       
Epoch [21/200]  | Train: Loss 4.152999723423792, Accuracy 0.062317856125512196      | Test: Loss 4.152202777373485, Accuracy 0.05899795501022495       
Epoch [22/200]  | Train: Loss 4.152108637314269, Accuracy 0.06172623090913075       | Test: Loss 4.144360896868584, Accuracy 0.05899795501022495       
Epoch [23/200]  | Train: Loss 4.151971109752549, Accuracy 0.062120647720051714      | Test: Loss 4.151699836437519, Accuracy 0.05899795501022495       
Epoch [24/200]  | Train: Loss 4.1529785760954105, Accuracy 0.06209873567500055      | Test: Loss 4.154755017696282, Accuracy 0.05899795501022495       
Epoch [25/200]  | Train: Loss 4.1521832436822645, Accuracy 0.06233976817056336      | Test: Loss 4.157287585429656, Accuracy 0.05899795501022495       
Epoch [26/200]  | Train: Loss 4.151630894431855, Accuracy 0.06242741635076802       | Test: Loss 4.152791824096289, Accuracy 0.05899795501022495       
Epoch [27/200]  | Train: Loss 4.150900609000435, Accuracy 0.062317856125512196      | Test: Loss 4.149916752790793, Accuracy 0.05899795501022495       
Epoch [28/200]  | Train: Loss 4.151424959385195, Accuracy 0.061572846593772594      | Test: Loss 4.150591495709541, Accuracy 0.05899795501022495       
Epoch [29/200]  | Train: Loss 4.1511562576507055, Accuracy 0.06236168021561452      | Test: Loss 4.148988772661258, Accuracy 0.05899795501022495       
Epoch [30/200]  | Train: Loss 4.151138929015431, Accuracy 0.06249315248592151       | Test: Loss 4.160988697638879, Accuracy 0.05899795501022495       
Epoch [31/200]  | Train: Loss 4.151881596229596, Accuracy 0.06236168021561452       | Test: Loss 4.154659332373203, Accuracy 0.05899795501022495       
Epoch [32/200]  | Train: Loss 4.150387228534209, Accuracy 0.06229594408046103       | Test: Loss 4.150455395380656, Accuracy 0.05899795501022495       
Epoch [33/200]  | Train: Loss 4.150286140388617, Accuracy 0.06249315248592151       | Test: Loss 4.159355750450721, Accuracy 0.05899795501022495       
Epoch [34/200]  | Train: Loss 4.1514197408154025, Accuracy 0.062405504305716855     | Test: Loss 4.152409296769362, Accuracy 0.05899795501022495       
Epoch [35/200]  | Train: Loss 4.1503418730623896, Accuracy 0.062317856125512196     | Test: Loss 4.15292108975924, Accuracy 0.05899795501022495        
Epoch [36/200]  | Train: Loss 4.151140857675222, Accuracy 0.06242741635076802       | Test: Loss 4.151935186141577, Accuracy 0.05899795501022495       
Epoch [37/200]  | Train: Loss 4.150896887539485, Accuracy 0.062471240440870345      | Test: Loss 4.150848914415408, Accuracy 0.05899795501022495       
