HELENA

Normal - Mixed - Trainable

Epoch [ 1/100]  | Train: Loss 4.041705841458709, Accuracy 0.09130749172820299       | Test: Loss 3.5667234322963615, Accuracy 0.17494887525562372      
Epoch [ 2/100]  | Train: Loss 3.4431189411845287, Accuracy 0.20443938032736594      | Test: Loss 3.218760386491433, Accuracy 0.2602249488752556        
Epoch [ 3/100]  | Train: Loss 3.225017823320527, Accuracy 0.2448013673116112        | Test: Loss 3.1080248050200634, Accuracy 0.270040899795501        
Epoch [ 4/100]  | Train: Loss 3.122900078416537, Accuracy 0.26581501851567807       | Test: Loss 3.043570359547933, Accuracy 0.2837423312883436        
Epoch [ 5/100]  | Train: Loss 3.0364371971045125, Accuracy 0.28435260862896333      | Test: Loss 2.945509005815555, Accuracy 0.30316973415132925       
Epoch [ 6/100]  | Train: Loss 2.97185222130248, Accuracy 0.293752875955913          | Test: Loss 2.899623235066732, Accuracy 0.311758691206544         
Epoch [ 7/100]  | Train: Loss 2.9171619748270046, Accuracy 0.30448977803098365      | Test: Loss 2.8606928984324136, Accuracy 0.31850715746421265      
Epoch [ 8/100]  | Train: Loss 2.8756059388208657, Accuracy 0.31104147950128186      | Test: Loss 2.8222828767238517, Accuracy 0.326278118609407        
Epoch [ 9/100]  | Train: Loss 2.841390499189579, Accuracy 0.316519490764073         | Test: Loss 2.7975354133508143, Accuracy 0.3313905930470348       
Epoch [10/100]  | Train: Loss 2.8087591751993704, Accuracy 0.32267677542345025      | Test: Loss 2.7680499186882606, Accuracy 0.33629856850715745      
Epoch [11/100]  | Train: Loss 2.776801442300807, Accuracy 0.3303459911913579        | Test: Loss 2.7678131568126187, Accuracy 0.3379345603271984       
Epoch [12/100]  | Train: Loss 2.749827090588362, Accuracy 0.3337861822643907        | Test: Loss 2.7405436100103917, Accuracy 0.3422290388548057       
Epoch [13/100]  | Train: Loss 2.7281732346092524, Accuracy 0.3370291649319631       | Test: Loss 2.729775349299113, Accuracy 0.3455010224948875        
Epoch [14/100]  | Train: Loss 2.7080539711360827, Accuracy 0.33985581874356335      | Test: Loss 2.7019700637230506, Accuracy 0.3460122699386503       
Epoch [15/100]  | Train: Loss 2.686267365290466, Accuracy 0.3440191073032846        | Test: Loss 2.6919646018590684, Accuracy 0.3512269938650307       
Epoch [16/100]  | Train: Loss 2.6687622483216185, Accuracy 0.3495409426561781       | Test: Loss 2.6865713046147275, Accuracy 0.3502044989775051       
Epoch [17/100]  | Train: Loss 2.6508695186849414, Accuracy 0.35107478580975965      | Test: Loss 2.679243375093509, Accuracy 0.35408997955010224       
Epoch [18/100]  | Train: Loss 2.63318408800903, Accuracy 0.35339746258518306        | Test: Loss 2.664456159640581, Accuracy 0.35552147239263804       
Epoch [19/100]  | Train: Loss 2.614689247568226, Accuracy 0.3589192979380766        | Test: Loss 2.671770053032117, Accuracy 0.35194274028629857       
Epoch [20/100]  | Train: Loss 2.6056029583488765, Accuracy 0.3587220895326161       | Test: Loss 2.6451461131756124, Accuracy 0.35848670756646217      
Epoch [21/100]  | Train: Loss 2.5920939045911395, Accuracy 0.36327979490325835      | Test: Loss 2.658786553602952, Accuracy 0.35194274028629857       
Epoch [22/100]  | Train: Loss 2.5770833026097475, Accuracy 0.36437539715581657      | Test: Loss 2.65654819439619, Accuracy 0.3576687116564417         
Epoch [23/100]  | Train: Loss 2.5613189236411835, Accuracy 0.3687578061660495       | Test: Loss 2.6395436922709146, Accuracy 0.3588957055214724       
Epoch [24/100]  | Train: Loss 2.553635619872109, Accuracy 0.3679908845892587        | Test: Loss 2.640183809476021, Accuracy 0.3628834355828221        
Epoch [25/100]  | Train: Loss 2.5366421731490663, Accuracy 0.3714748997523939       | Test: Loss 2.6276406202560816, Accuracy 0.36114519427402864      
Epoch [26/100]  | Train: Loss 2.5277058905063394, Accuracy 0.3730744790411289       | Test: Loss 2.6439184959118185, Accuracy 0.3623721881390593       
Epoch [27/100]  | Train: Loss 2.514715221341096, Accuracy 0.37287727063566845       | Test: Loss 2.6498992320818777, Accuracy 0.36298568507157464      
Epoch [28/100]  | Train: Loss 2.501914692990607, Accuracy 0.3744330258343011        | Test: Loss 2.62557254693447, Accuracy 0.3656441717791411         
Epoch [29/100]  | Train: Loss 2.496884251440038, Accuracy 0.3772815916909525        | Test: Loss 2.6385666712736473, Accuracy 0.3618609406952965       
Epoch [30/100]  | Train: Loss 2.4791259925458684, Accuracy 0.3791002914301992       | Test: Loss 2.625398189593584, Accuracy 0.3643149284253579        
Epoch [31/100]  | Train: Loss 2.474782204494796, Accuracy 0.38105046343975285       | Test: Loss 2.63369266803448, Accuracy 0.36462167689161556        
Epoch [32/100]  | Train: Loss 2.4618636616115466, Accuracy 0.3850165435940136       | Test: Loss 2.615270590170836, Accuracy 0.36871165644171777       
Epoch [33/100]  | Train: Loss 2.4491631012389115, Accuracy 0.3863531783421347       | Test: Loss 2.6358104118934045, Accuracy 0.37096114519427403      
Epoch [34/100]  | Train: Loss 2.4402181649341266, Accuracy 0.38909218397353024      | Test: Loss 2.6255688117100644, Accuracy 0.36738241308793457      
Epoch [35/100]  | Train: Loss 2.431412646224379, Accuracy 0.38896071170322327       | Test: Loss 2.618385687852517, Accuracy 0.36901840490797544       
Epoch [36/100]  | Train: Loss 2.420608280757286, Accuracy 0.3898152814602187        | Test: Loss 2.632710181749784, Accuracy 0.36554192229038857       
Epoch [37/100]  | Train: Loss 2.407824146015018, Accuracy 0.39441681092096326       | Test: Loss 2.6125400494306517, Accuracy 0.36830265848670757      
